# Server version 0.08 running on Siegetank:8123
# Game ID: 840
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Wed Mar 09 23:12:35 EST 2016
# Player 1: Player-0, 'Human', running on Siegetank
# Player 2: Player-1, '260498154', running on Siegetank
START Player-0 Human
START Player-1 260498154
PIT 0 23
PIT 1 0
PIT 0 22
PIT 1 1
PIT 0 21
PIT 1 3
PIT 0 20
PIT 1 5
PIT 0 28
PIT 1 8
PIT 0 27
PIT 1 11
PIT 0 26
PIT 1 12
PIT 0 24
PIT 1 13
PIT 0 25
PIT 1 14
PIT 0 26
PIT 1 17
PIT 0 27
PIT 1 18
PIT 0 19
PIT 1 21
